,SEKTOR,JML_PERUSAHAAN
0,"Pertanian, Kehutanan, dan Perikanan",1108.0
1,Pertambangan dan Penggalian,22.0
2,Industri Pengolahan,4130.0
3,"Pengadaan Listrik, Gas, Uap Air Panas dan Udara Dingin",12.0
4,"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",29.0
5,Konstruksi,162.0
6,Perdagangan Besar dan Eceran Reparasi dan Perawatan Mobil dan Sepeda Motor,5192.0
7,Transportasi dan Pergudangan,42.0
8,Penyediaan Akomodasi dan Penyediaan Makan Minum,844.0
9,Informasi dan Komunikasi,55.0
10,Jasa Keuangan dan Asuransi,20.0
11,Real Estate,1.0
12,"Jasa Profesional, Ilmiah dan Teknis",363.0
13,"Jasa Persewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",99.0
14,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1.0
15,Jasa Pendidikan,16.0
16,Jasa Kesehatan dan Kegiatan Sosial,16.0
17,"Kesenian, Hiburan dan Rekreasi",51.0
18,Kegiatan Jasa Lainnya,590.0
19,"Jasa Perorangan yg Melayani RT, Keg yg Menghasilkan Brg & Jasa oleh RT yg Digunakan Sendiri utk Memenuhi Kebutuhan",77.0
